H. sapiens,D. melanogaster,C. elegans
1266,-61413,-3548
1845,1100,-3570
1913,-15272,1518386
1013,7648,-3453
1019,4245633,1521718
1263,-2338,-1323
1071,-4759,2693
2138,-10360,5609
1417,6741,-2469
1505,-3810,-2025
1209,2402,-2461
2382,1963815,-1224
1790,-4429,-2676
1747,2550,-2069
2113,-5259415,-1281
1029,-2108129,-2204
-1782,6045025,-2784
1332,7896339,-5185
1464,-4804,-5045
1420,1076,-4878
1549,1257,-4876
1561,288867,-5217
1392,-4320,-4879
1983,-6797,-1296
2537,-4892,-3622
1400,-10048,-3602
2596,24313,-3458
1623,-5326,-1837
2192,-1970,-2034
2191,1281,-2205
1265,94705,-2525
1221,-8221,-1375
1213,-30716,-1102
1025,-2720,-1361
1942,-2920,1649
1035,-3058,-1109
3290,-3064,-1620
3500,1761144,-1272
2960,-8028,-1264
2262,-34002,-2049
1516,34621,-5985
-1327,-4909,-2920
1308,2862,-4369
2971,-1406,-7414
1713,-1733,-1405
1265,-3582,-1822
1252,-3186,-3718
2063,-1434,-3615
1923,-8672,-3008
1750,-1783,-3013
2496,-1106,-2912
1032,-1391,-1353
1204,-1819,-1687
3174,-3979,-1149
1639,-3348806,-1697
-337731,-13128,-1217
333677,4469,-2210
-2134,-6920,4602
1288,-4593,-6049
1746,7980,1752
2866,-7954,-1191
-1911,5374,-3958
2241,-14345,-5059
1327,68791,-6043
1447,-2972,-5208
1472,11163,-4051
2129,-15272,-2742
-1862,7246,-2727
1008,-4290,-1421
4231,-5792,-2906
2955,-2131,-1509
1123,-2896,1735
9032,68045,-2001
2288,-2117,-12866
157873,-2113,-2829
194672,-2627,-3486
28621059,-2585,-3670
-28619842,-2585,-1323
28620373,-2125,-3399
-28618653,11610,-1246
2643,24181,-1262
4642072,-16787,-2639
-868359,-12441,-4528
1021,-12962,1485
1105,-29839,1671
1695,-4114,1636
2682,-1434,-4350
1866,-2885,-3287
-91317197,-4599,-3288
91315249,3702827,-3288
5057,290055,-1334
2312,17221,-4177
6018,-12514,-2068
1131,-36184,-3251
2047,-12396,-2204
3654,11909,-2233
4635,-13078,1051
2804,-12082,-2396
1072,4430,-4104
1041,-1917,-3159
-1508,248362,-2331
-2176,-12000,-3312
1609,-5046,-1001
1600,-2876,-1630
-1136,-4685,-1179
1287,-4337,-4455
3286,400875,-5760
1407,4432,-8376
5657,-36340,-8447
2889,17221,-6121
1411,-11994,-4197
5874,-36857,-1609
2302,-11767,-2758
2084,-11761,-3373
1143,17221,-1745
-1670,24054,-3287
1278,-36375,-3288
1183,-12530,-2705
1303,-29841,1226
2721,-1674,-5162862
1653,22507,5159889
-1013,1003,5969
2489,-36712,-4072
1144,4446,-2157
1524,86640,-3206
5488,-5115,-1126
1264,-5079,-3266
2576,-3852,-1309
1914,4979,-1322
1352,-36183,-1128
2696,-36525,-1408
1120,-11768,-2608
3459,-11761,-5804
3073,-36184,-2863
1145,24323,-2776
2220,-1151,-1011
5416,-1151,-3368
-1168,-1151,-8779
1448,-10846,-6836
1001,-54020,-8222
1792,-6694,-4454
-4883,-2515,-2930
1243,-2627,1328959
1457,24423,1333700
1071,94548,-2080
1862,125434,-1300
1932,-7088,-1904
1547,-3561,-2221
2631,-28078,-7196
1177,-1546,-7197
2573,-35840,-7196
1132,-19404,-7197
1163,-2766,-2343
2280,-3918,-1960
2420,8261160,-1379
67269,25425,-1863
2349,-1199,-2157
1184,-36284,-1890
1377,25620,-2217
1628,-1001,-4862
1076,-29839,-2378
-1916,-36700,-2502
1290,-1790,-2320
1165,58663,-2799
1092,59705,-17276
1392,-8462,-3155
1993,4238,6357
2255,-6740,13014
1495,-4818,-3008
1321,-2754,-2820
1237,1463,-3012
-3815,-12709,-2916
4535,-2422,-3011
1799,-3090,-2824
1309,3268,-543934
2236,-50139,-1993
2720,-9075,-4152
1791,-1348,-8252
-1003,4845,-6000
3280,-3407,-10803
1257,-2097,-1010
2027,-1579,-1335
1409,-9388,-1253
1342,-3171,-1225
13908,-12001,-1283
2351,-1474,-1637
1590,-2788,-1322
1307,-3174,4807
1844,-3452,6212
2130,-2872,3857
1396,-3495,-4371
-1558,-3019,-3435
1264,24423,-6516859
2263,-36510,-1024
2686,24423,6514554
1199,11701,-6517396
1408,17221,12063768
2303,17243,12062361
3017,9832,12056302
4375,-36626,12055731
1625,22507,-2498
1017,-9821,-3955
1107,-36183,-2343
1438,-13078,-5479
1315,-12449,-5927
1298,4431,-8661
2003,-12161,-4238
2130,28626,-3889
1129,24423,16601
1216,-37159,22573
1250,10207,-2142
2070,-36184,-2141
-1265,-12567,-2146
2887,24423,-2140
1549,-36190,-3287
1998,-3560,-8486
4780,-3578,1027
1651,-2115,-3687
1512,-1788,-2574
1054,-3527,-3271
-3897,,-2204
1973,,-3838
1273,,-2963
28612669,,-2728
1818,,-3484
28407558,,-2835
103875381,,-2496
6270,,-4028
1515,,-2194
217991704,,-1633
1765,,-1997
194359,,-2878
195596,,-1269
44907,,-1481
218014526,,-2892
218040309,,1513347
134406,,-7346
198370,,-4508
1727,,-4609
1193,,-4612
1733,,-4609
3371,,-2042
3914,,-4593
1712,,-4597
1486,,-4621
1953,,-2284
7110,,-2387
2564,,-1424
1108,,-1841
2797,,-1967
116548,,-1773
18155420,,-1711
18149197,,-2357
26161249,,-1611
2015,,-2022
1412,,507773
1229,,-1575
1370,,-1325
-1156,,-4680
1040,,-1013
2219,,-3254
1734,,-3244
1529,,-5374
1948,,-9213352
493654,,9204422
529356,,-2303
385001,,-9208922
366022,,-3115
464483,,-4707
1538,,9200623
1214,,-1559
1525,,-2655
1348,,-9208727
1282,,-9214385
2379,,12055211
1197,,-8019
1162,,-9647
1283,,-2918
1475,,-8526
1696,,-1148
1916,,-8746
1759,,-2155
21763,,-2709
-21738,,27292
1662,,-6836
2311,,-6839
1048,,-6004
1123,,-4886
-10663520,,-4879
10661595,,-6837
1683,,-6840
1112,,-3533
1210,,-8410
2994,,-12307
1001,,-5862
2208,,5681
1356,,-6833
1534,,-6834
1025,,-6832
1620,,-1357
1529,,-2615
1841,,-1374
-2642,,-3720
-1036,,-4276
2299,,-3891
2082,,-3198
-2367,,-3432
1146,,-3276
-131987292,,-1476
64945,,-68993
178940,,-2660
-28693469,,-4107
61310353,,-4461
61243181,,-5744
991099,,-4198
22788130,,-2720
-28694777,,-3759
28695445,,-5247
-28689771,,-4929
28691888,,-9211339
-22781291,,-3068
-190320,,-3188
129010015,,12055568
131976924,,-6607
-129502304,,-2234
1227,,-4279
1082,,-4560
1195,,-6860
1747,,-6841
1491,,-2376
1883,,-2759
1032,,-2080
1726,,-2233
1615,,-4347
1666,,-4455
1096,,-4374
3239,,-3753
1520,,-4109
3270,,-4509
1464,,-3245
3407,,-3490
1003,,-3070
1345,,-3571
1523,,-3186
1041,,-2006
477270,,52862
483394,,1965334
682162,,53057
-28609000,,1966065
835949,,-1388
894545,,-6186
18978,,-2502
27612637,,-3186
27596762,,-3282
178483,,-10639
189699,,-2600
-542994,,-2853
1842112,,-2735
-1677130,,-2461
-991136,,-6848
849365,,-6849
-476063,,-6848
-122380,,-1990
640774,,-2774
-1977756,,-1106
-1175913,,-1641
57771,,-1080
259080,,-3878
-861249,,-4453
1138039,,-3713
-574962,,-4811
-762182,,-4266
-592326,,-7603
1050198,,-3012
292879,,-2301
185119,,-2950
518313,,-3306
18037105,,-2891
18034444,,-4518
18048099,,-3613
2245,,1968812
18037045,,53216
-27790,,-2114
-5329,,-3786
2097,,-3613
1019,,-4237
-2849,,-4298
523997,,9318
1164223,,-9637
1128461,,-33337
1107500,,-2915
-4990955,,-2106
-2480351,,-8869
4483,,-2836
3676449,,-4187
-3677949,,-4187
1090,,-2884
1203,,-6564
-2321888,,-4388
2322765,,-9693
-2529715,,-1264
2457,,-3377
4553,,-3298
2676,,-4840
1554,,-7762
5863,,-3441
1086,,-2569
1605858,,-2676
3212,,-2543
2836,,-2676
2491,,-2517
1114,,-2542
1114,,-2516
2762,,-5497
129538594,,-5601
131972209,,-7196
25997,,-7196
1383,,-7197
3585,,-2596
1345,,-4231
1586,,-4073
1147,,-3432
2561,,-4603
1366,,-7196
1084,,-7197
1358,,-7196
3271,,-7197
4907,,-7196
1287,,-7200
1481,,-7195
1312,,-7198
1978,,-7196
1128,,-7197
1236,,-7195
1246,,-7197
2207,,-7196
1505,,-7198
1743,,-7198
3133,,-7196
2772,,-7196
1523,,-7197
3143,,-7196
1429,,-7198
1047,,-7197
3186,,-7196
3897,,-7197
1011,,-7197
1211,,-7196
1022,,-7197
5025,,-7196
-6303,,-7197
-2118,,-7196
-2999,,-7197
1512,,-7198
32209,,-7196
10480,,-7197
2157,,-7196
1275,,-7197
1736,,-7196
1940,,-7196
1702,,-7198
1051,,-7041
1099,,-5961
1624,,-7398
1049,,-2325
2914,,-7196
1028,,-7197
1635,,-7196
1171,,-8125
1118,,-7728
1160,,-4459
2088,,-6047
1277,,-3669
1489,,-9345
2110,,-3536
2368,,-10567
1026,,-3703
5137,,-1664
10958,,-3816
1217,,-1455
1110,,-3302
1487,,-9000
1479,,-6667
1136,,-5525
1554,,-4097
1058,,-6853
1826,,-6862
1101,,-1912
1030,,-3291
1620,,-7657
2215,,-2640
1575,,-3497
1132,,-4356
3130,,-4253
1922,,-5163
1603,,-4513
1658,,-5176
1809,,-3187
4986,,-3302
1330,,-3927
4030,,-3531
1345,,-6835
5696,,-6844
6154,,-5855
1415,,-2651
1129,,3237
1279,,-3307
1573,,-3245
1076,,-3415
1308,,-3311
1344,,-9209098
1019,,-3631
1151,,-2478
3905,,-2122
4380,,-3778
1828,,-1534
2072,,-2892
3277,,-1525
2989,,-1023
1425,,2019492
1220,,-3038
4011,,-4338
1358,,-4465
1099,,-4346
1543,,-4261
1169,,2014660
1837,,-1503
1685,,-4077
1051,,-4401
1124,,-3374
1095,,-4077
1133,,-4428
1027,,-1662
1370,,-3002
1014,,-3643
1133,,-2242
2763,,-3561
81863,,-4704
3442,,-4216
15850,,-1475
-7001,,-4397
-6300,,-4443
-34926,,-6109
7524,,-3365
2943,,-3417
1252,,-4142
2167,,-2940
2133,,-3815
2762,,-3318
1013,,-10315
1221,,-2518
4566,,-2075
1934,,-2600
3695,,-1969
2375,,-2413
1303,,-3167
1804,,-3401
1086,,-3272
2664,,-4338
1314,,-3238
1233,,-4440
2242,,-4213
2629,,-4474
2177,,-2646
3169,,-2517
2006,,-2596
2181,,-2544
1038,,-3341
3269,,-2517
1133,,-2465
1408,,-2361
2191,,
1433,,
1213,,
3453,,
1281,,
2269,,
11508,,
2994,,
1057,,
1158,,
1691,,
1247,,
1212,,
1026,,
1023,,
2934,,
1073,,
1899,,
1027,,
1743,,
1133,,
1195,,
3516,,
1380,,
7711,,
2545,,
4240,,
1919,,
1619,,
1286,,
1569,,
3555,,
3022,,
9502,,
1574,,
1076,,
3095,,
1465,,
1408,,
2613,,
2017,,
-60763373,,
60763451,,
1004,,
1423,,
1482,,
5929,,
5572,,
1778,,
1061,,
1633,,
10950401,,
-10950257,,
1812,,
1875,,
1668,,
1380,,
1330,,
1992,,
6635,,
1234,,
1593,,
1475,,
1242,,
1347,,
1217,,
1179,,
3110,,
1024,,
1093,,
2560,,
1944,,
1341,,
2938,,
2154,,
1814,,
1090,,
3175,,
1257,,
1541,,
1119,,
1337,,
1185,,
1843,,
4542,,
1748,,
2208,,
1799,,
1068,,
1062,,
1171,,
1019,,
1206,,
2876,,
4933,,
1577,,
-1472,,
-2167,,
-1136,,
4712,,
1346,,
2162,,
1161,,
1199,,
1533,,
3347,,
2267,,
1665,,
-4010,,
1753,,
1254,,
1298,,
1306,,
1226,,
1274,,
1510,,
3097,,
1059,,
1753,,
1224,,
1072,,
1510,,
1160,,
1786,,
1142,,
1153,,
1947,,
1171,,
1705,,
2584,,
1145,,
2303,,
7963,,
2841,,
2222,,
3057,,
2364,,
1532,,
2151,,
1965,,
1933,,
2410,,
1820,,
1191,,
4307,,
6519,,
1655,,
3546,,
1131,,
3147,,
3394,,
2405,,
1129,,
78846,,
1512,,
4034,,
1210,,
1112,,
1174,,
1792,,
1673,,
7509,,
1044,,
1355,,
1058,,
1142,,
1102,,
1078,,
1204,,
1006,,
2695,,
1985,,
1788,,
1031,,
1099,,
3760,,
4672,,
21094,,
2826,,
2041,,
2169,,
3217,,
1050,,
1570,,
2214,,
1095,,
4309,,
1944,,
2111,,
1034,,
1056,,
1181,,
43405015,,
1257,,
1257,,
1095,,
1686,,
1139,,
1373,,
2667,,
1230,,
2865,,
1482,,
3211,,
