H. sapiens,C. elegans,D. melanogaster
82.87,83.95,81.13
82.87,83.97,81.13
82.88,83.98,81.13
82.88,83.98,81.13
82.88,83.98,81.14
82.89,83.98,81.14
82.89,83.99,81.14
82.89,84,81.14
82.89,84,81.14
82.89,84,81.14
82.9,84,81.14
82.9,84.01,81.14
82.9,84.01,81.14
82.9,84.02,81.14
82.9,84.04,81.15
82.91,84.08,81.15
82.91,84.09,81.15
82.91,84.09,81.15
82.91,84.1,81.15
82.91,84.1,81.15
82.91,84.12,81.15
82.92,84.12,81.16
82.93,84.13,81.16
82.93,84.14,81.16
82.93,84.14,81.16
82.94,84.15,81.16
82.94,84.15,81.16
82.94,84.16,81.16
82.94,84.19,81.16
82.94,84.21,81.16
82.94,84.21,81.16
82.94,84.21,81.16
82.94,84.22,81.16
82.95,84.22,81.16
82.95,84.22,81.16
82.95,84.22,81.16
82.96,84.24,81.16
82.96,84.25,81.16
82.96,84.25,81.16
82.96,84.26,81.16
82.97,84.26,81.16
82.97,84.27,81.17
82.97,84.27,81.17
82.97,84.27,81.17
82.97,84.28,81.17
82.97,84.28,81.17
82.97,84.29,81.17
82.98,84.29,81.17
82.98,84.31,81.17
82.98,84.32,81.17
82.98,84.32,81.18
82.98,84.33,81.18
82.99,84.34,81.18
82.99,84.34,81.18
82.99,84.35,81.18
82.99,84.35,81.18
83,84.35,81.18
83,84.36,81.18
83,84.37,81.18
83,84.38,81.18
83.01,84.4,81.18
83.01,84.41,81.19
83.01,84.41,81.19
83.01,84.41,81.19
83.02,84.41,81.19
83.02,84.41,81.19
83.02,84.42,81.19
83.02,84.44,81.19
83.03,84.45,81.19
83.03,84.45,81.19
83.03,84.46,81.19
83.03,84.46,81.19
83.03,84.47,81.19
83.03,84.47,81.2
83.03,84.47,81.2
83.03,84.48,81.2
83.03,84.48,81.2
83.03,84.51,81.2
83.03,84.51,81.2
83.03,84.51,81.2
83.03,84.52,81.2
83.04,84.52,81.2
83.04,84.53,81.2
83.04,84.54,81.2
83.04,84.55,81.2
83.04,84.55,81.2
83.04,84.56,81.2
83.04,84.56,81.2
83.04,84.58,81.2
83.04,84.58,81.2
83.05,84.58,81.2
83.05,84.59,81.21
83.05,84.59,81.21
83.05,84.6,81.21
83.06,84.61,81.21
83.06,84.61,81.22
83.06,84.61,81.22
83.06,84.62,81.22
83.06,84.62,81.22
83.07,84.62,81.22
83.07,84.62,81.22
83.07,84.62,81.22
83.07,84.63,81.23
83.07,84.65,81.23
83.07,84.67,81.23
83.07,84.69,81.23
83.07,84.69,81.23
83.07,84.69,81.23
83.07,84.69,81.23
83.07,84.69,81.24
83.08,84.7,81.24
83.08,84.7,81.24
83.08,84.7,81.24
83.08,84.71,81.25
83.08,84.72,81.25
83.08,84.72,81.25
83.08,84.72,81.25
83.09,84.72,81.25
83.09,84.72,81.26
83.09,84.73,81.26
83.09,84.74,81.26
83.09,84.74,81.26
83.1,84.76,81.26
83.1,84.76,81.26
83.1,84.76,81.26
83.1,84.76,81.26
83.11,84.78,81.27
83.11,84.78,81.27
83.11,84.79,81.27
83.11,84.79,81.27
83.11,84.8,81.27
83.11,84.8,81.27
83.11,84.8,81.27
83.12,84.81,81.27
83.12,84.81,81.28
83.12,84.81,81.28
83.12,84.82,81.28
83.12,84.83,81.28
83.12,84.85,81.28
83.12,84.86,81.29
83.12,84.86,81.29
83.13,84.88,81.29
83.13,84.88,81.29
83.13,84.88,81.29
83.13,84.89,81.3
83.13,84.9,81.3
83.13,84.91,81.3
83.13,84.92,81.3
83.13,84.92,81.3
83.13,84.92,81.3
83.14,84.93,81.3
83.14,84.93,81.31
83.14,84.93,81.31
83.14,84.94,81.31
83.14,84.94,81.32
83.14,84.94,81.32
83.15,84.95,81.32
83.15,84.95,81.33
83.15,84.95,81.33
83.15,84.95,81.33
83.15,84.96,81.33
83.15,84.96,81.33
83.15,84.96,81.34
83.15,84.97,81.34
83.15,84.97,81.34
83.16,84.97,81.34
83.16,84.98,81.34
83.16,84.99,81.34
83.16,84.99,81.34
83.16,84.99,81.34
83.16,84.99,81.34
83.17,84.99,81.35
83.17,85.01,81.35
83.17,85.01,81.36
83.17,85.04,81.36
83.17,85.04,81.36
83.17,85.05,81.36
83.17,85.05,81.36
83.17,85.05,81.36
83.18,85.05,81.36
83.18,85.06,81.36
83.18,85.07,81.36
83.19,85.07,81.37
83.19,85.07,81.37
83.19,85.09,81.37
83.19,85.09,81.37
83.19,85.1,81.37
83.19,85.13,81.37
83.2,85.14,81.37
83.2,85.16,81.38
83.2,85.17,81.38
83.2,85.17,81.38
83.2,85.2,81.38
83.2,85.21,81.38
83.21,85.21,81.38
83.21,85.22,81.38
83.21,85.23,81.38
83.21,85.23,81.38
83.21,85.26,81.38
83.21,85.26,81.39
83.21,85.26,81.39
83.21,85.27,81.4
83.21,85.27,81.4
83.22,85.27,81.4
83.22,85.3,81.4
83.22,85.31,81.41
83.22,85.31,81.41
83.22,85.32,81.41
83.22,85.32,81.41
83.22,85.33,81.42
83.22,85.33,81.42
83.23,85.34,81.42
83.23,85.35,81.42
83.23,85.35,81.42
83.23,85.36,81.42
83.23,85.37,81.42
83.23,85.37,81.43
83.23,85.38,81.43
83.23,85.39,81.43
83.24,85.39,81.43
83.24,85.39,81.43
83.24,85.39,81.43
83.24,85.4,81.44
83.24,85.4,81.44
83.24,85.4,81.44
83.24,85.41,81.44
83.24,85.41,81.45
83.24,85.42,81.45
83.24,85.42,81.45
83.25,85.43,81.45
83.25,85.45,81.45
83.25,85.45,81.45
83.25,85.46,81.45
83.25,85.46,81.45
83.25,85.48,81.45
83.26,85.48,81.46
83.26,85.48,81.46
83.26,85.48,81.46
83.26,85.5,81.46
83.26,85.51,81.46
83.26,85.53,81.46
83.26,85.53,81.46
83.26,85.53,81.46
83.26,85.54,81.46
83.26,85.55,81.46
83.26,85.55,81.47
83.26,85.56,81.47
83.26,85.56,81.47
83.27,85.57,81.47
83.27,85.58,81.47
83.27,85.59,81.47
83.27,85.59,81.47
83.27,85.6,81.48
83.27,85.6,81.48
83.27,85.61,81.48
83.27,85.62,81.48
83.27,85.66,81.48
83.28,85.67,81.48
83.28,85.68,81.49
83.28,85.68,81.49
83.28,85.68,81.49
83.28,85.69,81.49
83.29,85.7,81.49
83.29,85.71,81.49
83.29,85.71,81.49
83.29,85.71,81.49
83.29,85.71,81.49
83.29,85.71,81.49
83.29,85.71,81.49
83.29,85.71,81.49
83.3,85.73,81.49
83.3,85.74,81.49
83.3,85.74,81.49
83.3,85.77,81.49
83.3,85.78,81.49
83.3,85.78,81.49
83.3,85.82,81.5
83.3,85.82,81.5
83.3,85.83,81.5
83.3,85.83,81.5
83.31,85.84,81.5
83.31,85.84,81.5
83.31,85.85,81.5
83.31,85.86,81.5
83.31,85.86,81.5
83.31,85.87,81.5
83.31,85.87,81.5
83.31,85.88,81.5
83.32,85.88,81.5
83.32,85.88,81.5
83.32,85.88,81.5
83.32,85.89,81.5
83.32,85.89,81.5
83.32,85.89,81.51
83.32,85.9,81.51
83.33,85.9,81.51
83.33,85.9,81.51
83.33,85.92,81.51
83.33,85.92,81.51
83.33,85.92,81.51
83.33,85.92,81.51
83.34,85.94,81.51
83.35,85.95,81.51
83.35,85.97,81.51
83.35,85.97,81.51
83.35,85.99,81.51
83.35,85.99,81.51
83.35,85.99,81.52
83.36,85.99,81.52
83.36,86.02,81.52
83.36,86.02,81.52
83.36,86.03,81.52
83.36,86.04,81.52
83.36,86.05,81.52
83.36,86.08,81.52
83.36,86.09,81.53
83.36,86.09,81.53
83.36,86.1,81.53
83.36,86.1,81.53
83.37,86.11,81.53
83.37,86.11,81.53
83.37,86.11,81.53
83.37,86.13,81.53
83.37,86.13,81.53
83.37,86.14,81.54
83.37,86.15,81.54
83.37,86.16,81.54
83.38,86.17,81.54
83.38,86.17,81.54
83.38,86.18,81.54
83.38,86.18,81.54
83.38,86.19,81.54
83.38,86.2,81.54
83.38,86.21,81.54
83.38,86.21,81.54
83.38,86.22,81.54
83.39,86.22,81.54
83.39,86.23,81.54
83.39,86.23,81.54
83.39,86.25,81.54
83.39,86.25,81.54
83.39,86.25,81.55
83.39,86.25,81.55
83.39,86.25,81.55
83.4,86.26,81.55
83.4,86.26,81.55
83.4,86.26,81.55
83.4,86.26,81.55
83.4,86.28,81.55
83.4,86.29,81.56
83.4,86.3,81.56
83.4,86.3,81.56
83.41,86.3,81.56
83.41,86.3,81.57
83.41,86.31,81.57
83.41,86.33,81.58
83.41,86.36,81.58
83.41,86.36,81.58
83.41,86.36,81.58
83.41,86.36,81.58
83.41,86.36,81.58
83.41,86.37,81.58
83.41,86.37,81.58
83.41,86.38,81.58
83.42,86.39,81.58
83.42,86.39,81.58
83.42,86.4,81.58
83.42,86.4,81.58
83.42,86.4,81.58
83.42,86.41,81.59
83.42,86.41,81.59
83.42,86.42,81.59
83.42,86.43,81.59
83.42,86.43,81.59
83.43,86.43,81.59
83.43,86.44,81.59
83.43,86.44,81.6
83.43,86.45,81.6
83.43,86.45,81.6
83.43,86.47,81.6
83.43,86.47,81.6
83.43,86.49,81.6
83.43,86.49,81.6
83.43,86.5,81.6
83.43,86.51,81.6
83.43,86.51,81.6
83.44,86.52,81.6
83.44,86.52,81.6
83.44,86.52,81.6
83.44,86.55,81.6
83.44,86.55,81.6
83.44,86.55,81.61
83.44,86.57,81.61
83.44,86.57,81.61
83.44,86.58,81.61
83.44,86.58,81.61
83.44,86.59,81.61
83.44,86.62,81.61
83.44,86.62,81.61
83.44,86.62,81.61
83.45,86.63,81.62
83.45,86.63,81.62
83.45,86.64,81.62
83.45,86.65,81.62
83.45,86.66,81.62
83.45,86.66,81.62
83.45,86.67,81.62
83.46,86.67,81.63
83.46,86.68,81.63
83.46,86.71,81.63
83.46,86.72,81.63
83.46,86.73,81.63
83.46,86.73,81.63
83.46,86.74,81.63
