,len,species,positive,abslen
77,1564.0,H. sapiens,True,1564.0
78,183593.0,H. sapiens,True,183593.0
79,2521.0,H. sapiens,True,2521.0
80,1245.0,H. sapiens,True,1245.0
81,1206.0,H. sapiens,True,1206.0
82,3228.0,H. sapiens,True,3228.0
83,1022.0,H. sapiens,True,1022.0
84,1378.0,H. sapiens,True,1378.0
85,1092.0,H. sapiens,True,1092.0
86,-4581.0,H. sapiens,False,4581.0
87,-4580.0,H. sapiens,False,4580.0
88,-2045.0,H. sapiens,False,2045.0
89,2841.0,H. sapiens,True,2841.0
90,1175.0,H. sapiens,True,1175.0
91,1135.0,H. sapiens,True,1135.0
92,-4857.0,H. sapiens,False,4857.0
93,2445.0,H. sapiens,True,2445.0
94,1553.0,H. sapiens,True,1553.0
95,59225.0,H. sapiens,True,59225.0
96,35140.0,H. sapiens,True,35140.0
97,1951.0,H. sapiens,True,1951.0
98,1712.0,H. sapiens,True,1712.0
99,1059.0,H. sapiens,True,1059.0
100,1079.0,H. sapiens,True,1079.0
101,1972.0,H. sapiens,True,1972.0
102,1628.0,H. sapiens,True,1628.0
103,4799.0,H. sapiens,True,4799.0
104,1688.0,H. sapiens,True,1688.0
105,1253.0,H. sapiens,True,1253.0
106,1366.0,H. sapiens,True,1366.0
107,1163.0,H. sapiens,True,1163.0
108,1688.0,H. sapiens,True,1688.0
109,1233.0,H. sapiens,True,1233.0
110,1997.0,H. sapiens,True,1997.0
111,1587.0,H. sapiens,True,1587.0
112,1055.0,H. sapiens,True,1055.0
113,1403.0,H. sapiens,True,1403.0
114,2240.0,H. sapiens,True,2240.0
115,1582.0,H. sapiens,True,1582.0
116,1766.0,H. sapiens,True,1766.0
117,1897.0,H. sapiens,True,1897.0
118,1030.0,H. sapiens,True,1030.0
119,1401.0,H. sapiens,True,1401.0
120,2218.0,H. sapiens,True,2218.0
121,1072.0,H. sapiens,True,1072.0
122,1643.0,H. sapiens,True,1643.0
123,1053.0,H. sapiens,True,1053.0
124,1830.0,H. sapiens,True,1830.0
125,2208.0,H. sapiens,True,2208.0
126,1032.0,H. sapiens,True,1032.0
127,2368.0,H. sapiens,True,2368.0
128,1894.0,H. sapiens,True,1894.0
129,1818.0,H. sapiens,True,1818.0
130,2534.0,H. sapiens,True,2534.0
131,1277.0,H. sapiens,True,1277.0
132,4098.0,H. sapiens,True,4098.0
133,1782.0,H. sapiens,True,1782.0
134,1135.0,H. sapiens,True,1135.0
135,1172.0,H. sapiens,True,1172.0
136,2674.0,H. sapiens,True,2674.0
137,1669.0,H. sapiens,True,1669.0
138,1227.0,H. sapiens,True,1227.0
139,7644634.0,H. sapiens,True,7644634.0
140,-7648337.0,H. sapiens,False,7648337.0
141,1860.0,H. sapiens,True,1860.0
142,3325.0,H. sapiens,True,3325.0
143,3701.0,H. sapiens,True,3701.0
144,1399.0,H. sapiens,True,1399.0
145,3075.0,H. sapiens,True,3075.0
146,1239.0,H. sapiens,True,1239.0
147,6094.0,H. sapiens,True,6094.0
148,1865.0,H. sapiens,True,1865.0
149,1564.0,H. sapiens,True,1564.0
150,2076.0,H. sapiens,True,2076.0
151,1303.0,H. sapiens,True,1303.0
152,2271.0,H. sapiens,True,2271.0
153,8689.0,H. sapiens,True,8689.0
154,2429.0,H. sapiens,True,2429.0
155,1051.0,H. sapiens,True,1051.0
156,1725.0,H. sapiens,True,1725.0
157,1502.0,H. sapiens,True,1502.0
158,5986.0,H. sapiens,True,5986.0
159,1760.0,H. sapiens,True,1760.0
160,1175.0,H. sapiens,True,1175.0
161,2841.0,H. sapiens,True,2841.0
162,1587.0,H. sapiens,True,1587.0
163,3222.0,H. sapiens,True,3222.0
164,5603.0,H. sapiens,True,5603.0
165,2124.0,H. sapiens,True,2124.0
166,1801.0,H. sapiens,True,1801.0
167,1953.0,H. sapiens,True,1953.0
168,-1654994.0,H. sapiens,False,1654994.0
169,1655330.0,H. sapiens,True,1655330.0
170,3231.0,H. sapiens,True,3231.0
171,1350.0,H. sapiens,True,1350.0
172,1635.0,H. sapiens,True,1635.0
173,1436.0,H. sapiens,True,1436.0
174,1123.0,H. sapiens,True,1123.0
175,1041.0,H. sapiens,True,1041.0
176,1326.0,H. sapiens,True,1326.0
177,1606.0,H. sapiens,True,1606.0
178,1252.0,H. sapiens,True,1252.0
179,1210.0,H. sapiens,True,1210.0
180,1228.0,H. sapiens,True,1228.0
181,2301.0,H. sapiens,True,2301.0
182,2619.0,H. sapiens,True,2619.0
183,1117.0,H. sapiens,True,1117.0
184,1156.0,H. sapiens,True,1156.0
185,1352.0,H. sapiens,True,1352.0
186,1578.0,H. sapiens,True,1578.0
187,1085.0,H. sapiens,True,1085.0
188,45594.0,H. sapiens,True,45594.0
189,1061.0,H. sapiens,True,1061.0
190,1161.0,H. sapiens,True,1161.0
191,1006.0,H. sapiens,True,1006.0
192,1212.0,H. sapiens,True,1212.0
193,2324.0,H. sapiens,True,2324.0
194,2019.0,H. sapiens,True,2019.0
195,1792.0,H. sapiens,True,1792.0
196,1194.0,H. sapiens,True,1194.0
197,87561401.0,H. sapiens,True,87561401.0
198,87516437.0,H. sapiens,True,87516437.0
199,1476.0,H. sapiens,True,1476.0
200,3111.0,H. sapiens,True,3111.0
201,1165.0,H. sapiens,True,1165.0
202,1249.0,H. sapiens,True,1249.0
203,1018.0,H. sapiens,True,1018.0
204,2862.0,H. sapiens,True,2862.0
205,1564.0,H. sapiens,True,1564.0
206,2670.0,H. sapiens,True,2670.0
207,2486.0,H. sapiens,True,2486.0
208,1610.0,H. sapiens,True,1610.0
209,1429.0,H. sapiens,True,1429.0
210,4948.0,H. sapiens,True,4948.0
211,3235.0,H. sapiens,True,3235.0
212,1064.0,H. sapiens,True,1064.0
213,1604.0,H. sapiens,True,1604.0
214,1170.0,H. sapiens,True,1170.0
215,1189.0,H. sapiens,True,1189.0
216,2342.0,H. sapiens,True,2342.0
217,4338.0,H. sapiens,True,4338.0
218,1374.0,H. sapiens,True,1374.0
219,4301.0,H. sapiens,True,4301.0
220,-18472.0,H. sapiens,False,18472.0
221,18445.0,H. sapiens,True,18445.0
222,2740.0,H. sapiens,True,2740.0
223,7010.0,H. sapiens,True,7010.0
224,1070.0,H. sapiens,True,1070.0
225,2182.0,H. sapiens,True,2182.0
226,-3616.0,H. sapiens,False,3616.0
227,1371.0,H. sapiens,True,1371.0
228,2128.0,H. sapiens,True,2128.0
229,2228.0,H. sapiens,True,2228.0
230,35853445.0,H. sapiens,True,35853445.0
231,35876516.0,H. sapiens,True,35876516.0
232,1090.0,H. sapiens,True,1090.0
233,1572.0,H. sapiens,True,1572.0
234,1373.0,H. sapiens,True,1373.0
235,1514.0,H. sapiens,True,1514.0
236,1276.0,H. sapiens,True,1276.0
237,4251.0,H. sapiens,True,4251.0
238,1843.0,H. sapiens,True,1843.0
239,3002.0,H. sapiens,True,3002.0
240,1088.0,H. sapiens,True,1088.0
241,2578.0,H. sapiens,True,2578.0
242,1501.0,H. sapiens,True,1501.0
243,1838.0,H. sapiens,True,1838.0
244,1124.0,H. sapiens,True,1124.0
245,1154.0,H. sapiens,True,1154.0
246,1133.0,H. sapiens,True,1133.0
247,1723.0,H. sapiens,True,1723.0
248,3089.0,H. sapiens,True,3089.0
249,1245.0,H. sapiens,True,1245.0
250,1378.0,H. sapiens,True,1378.0
251,1745.0,H. sapiens,True,1745.0
252,1369.0,H. sapiens,True,1369.0
253,1374.0,H. sapiens,True,1374.0
254,6103.0,H. sapiens,True,6103.0
255,1395.0,H. sapiens,True,1395.0
256,1568.0,H. sapiens,True,1568.0
257,1941.0,H. sapiens,True,1941.0
258,1434.0,H. sapiens,True,1434.0
259,2868.0,H. sapiens,True,2868.0
260,1118.0,H. sapiens,True,1118.0
261,1251.0,H. sapiens,True,1251.0
262,1073.0,H. sapiens,True,1073.0
263,-1952.0,H. sapiens,False,1952.0
264,1003.0,H. sapiens,True,1003.0
265,1339.0,H. sapiens,True,1339.0
266,2739.0,H. sapiens,True,2739.0
267,1018.0,H. sapiens,True,1018.0
268,1438.0,H. sapiens,True,1438.0
269,1367.0,H. sapiens,True,1367.0
270,1614.0,H. sapiens,True,1614.0
271,1979.0,H. sapiens,True,1979.0
272,1125.0,H. sapiens,True,1125.0
273,1067.0,H. sapiens,True,1067.0
274,1005.0,H. sapiens,True,1005.0
275,1112.0,H. sapiens,True,1112.0
276,1028.0,H. sapiens,True,1028.0
